70,VETTORA,2014,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
71,VIVANTA,2011,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
72,VOLKOVA,2011,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
73,WONDERFUL HALO,2008,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
1,TIZNOW FOREVER,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
2,O MAIS GRANDE,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
3,REMEMBER HIT,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
4,MARIAN HIT,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
5,OLIMPIC RIM,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
6,VIL BOMB,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
7,ETTE SEIVER,2019,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
8,MAGNIFIC HIT,2022,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
9,WELLINGTON CITY,2022,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
10,ICONO HIT,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
11,COQUET HIT,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
12,HIT GALILEO,2021,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes
1,JOY MUSICA,2023,EL ARROYO,/remates/copa-bullrich-abril-2/lotes
2,LOOK DIFFERENT,2023,SANTA INÉS,/remates/copa-bullrich-abril-2/lotes
3,ES SOÑADO,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
4,CITA PERFECTA,2023,EL MALLÍN,/remates/copa-bullrich-abril-2/lotes
5,NUNCA TAXI,2023,LA LEYENDA,/remates/copa-bullrich-abril-2/lotes
6,MANHATTAN JOY,2023,SANTA INÉS,/remates/copa-bullrich-abril-2/lotes
7,CHESTER,2023,EL CHAÑAR,/remates/copa-bullrich-abril-2/lotes
